Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1735040764,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1735040766,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1735040767,20,,Aggregated,0.000000,0.000000,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,20,0,370.0,804.0704895043746,325.51663275808096,1279.2992647737265,351.0
1735040768,30,,Aggregated,0.000000,0.000000,820,850,870,1200,1300,1300,1300,1300,1300,1300,1300,50,0,820.0,804.2751428578049,325.51663275808096,1279.2992647737265,351.0
1735040769,40,,Aggregated,0.000000,0.000000,820,850,870,1200,1300,1300,1300,1300,1300,1300,1300,50,0,820.0,804.2751428578049,325.51663275808096,1279.2992647737265,351.0
1735040770,50,,Aggregated,10.000000,0.000000,1200,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,100,0,900.0,1015.4123655054718,325.51663275808096,1445.63415274024,351.0
1735040771,60,,Aggregated,10.000000,0.000000,1200,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,100,0,900.0,1015.4123655054718,325.51663275808096,1445.63415274024,351.0
1735040772,70,,Aggregated,20.000000,0.000000,1300,1400,1400,1400,1900,2000,2000,2000,2000,2000,2000,124,0,1300.0,1190.6829535089914,325.51663275808096,2032.8831099905074,351.0
1735040773,80,,Aggregated,20.000000,0.000000,1400,1900,2000,2000,2300,2500,2600,2600,2800,2800,2800,161,0,1400.0,1445.471724469261,325.51663275808096,2808.0083429813385,351.0
1735040774,90,,Aggregated,16.666667,0.000000,1400,1900,2000,2100,2400,2600,2600,2600,2800,2800,2800,170,0,1400.0,1495.7323012188735,325.51663275808096,2808.0083429813385,351.0
1735040775,100,,Aggregated,16.666667,0.000000,1400,1900,2000,2100,2400,2600,2600,2600,2800,2800,2800,170,0,1400.0,1495.7323012188735,325.51663275808096,2808.0083429813385,351.0
1735040776,110,,Aggregated,18.888889,0.000000,1600,2100,2300,2600,3400,3500,3700,3700,3900,3900,3900,201,0,1600.0,1801.6539901745186,325.51663275808096,3861.2541472539306,351.0
1735040777,120,,Aggregated,17.000000,0.000000,2000,2500,3400,3500,3700,3800,3900,4000,4200,4200,4200,241,0,2000.0,2116.0278822724317,325.51663275808096,4195.5821136944,351.0
1735040778,130,,Aggregated,17.000000,0.000000,2100,3400,3500,3600,3700,3800,4100,4200,4300,4300,4300,269,0,2100.0,2284.462023131743,325.51663275808096,4323.574308305979,351.0
1735040779,140,,Aggregated,20.000000,0.000000,2200,3400,3500,3600,3800,3900,4100,4200,4700,4700,4700,280,0,2200.0,2337.9532325181312,325.51663275808096,4656.920437235385,351.0
1735040780,150,,Aggregated,22.000000,0.000000,2300,3400,3600,3600,3800,3900,4100,4200,4700,4700,4700,286,0,2200.0,2368.874510867404,325.51663275808096,4656.920437235385,351.0
1735040781,160,,Aggregated,23.000000,0.000000,2400,3500,3600,3700,4000,4300,4600,4700,5000,5000,5000,309,0,2400.0,2520.118521821827,325.51663275808096,4959.7781780175865,351.0
